city,time,title,km,排量,变速箱,origin_price,price,rule,过户次数,kg,气缸数,最大马力,oil_num
昆明,2015,起亚K4,7.23,1.8,自动,16.26,7.5,国5,3,1395,4缸,143,92
潍坊,2019,奔驰E级,3.37,2,自动,53.49,43.9,国6,2,1800,4缸,245,95
上海,2015,福特,5.34,2,自动,32.54,17.38,国5,1,1925,4缸,245,92
惠州,2016,日产,6.12,1.6,自动,14.96,8.18,国5,0,1236,4缸,126,92
上海,2014,雷克萨斯CT,7.57,1.8,自动,32.24,14.68,国4,2,1440,4缸,99,92
福州,2015,宝马2系,1.65,1.5,自动,29.96,18,国5,1,1550,3缸,136,95
佛山,2020,大众,0.6,1.4,自动,16.63,13.38,国6,0,1330,4缸,150,95
南京,2016,自由光,6.32,2.4,自动,28.2,11.88,国5,1,1855,4缸,175,92
南京,2016,自由光,6.32,2.4,自动,28.2,11.88,国5,1,1855,4缸,175,92
重庆,2012,福特,7.72,1.6,自动,15.62,5.6,国4,0,1338,4缸,125,92
西安,2017,别克GL8,6.47,2,自动,35.81,28.58,国5,1,1910,4缸,260,95
嘉兴,2013,大众,9.69,1.8,自动,28.2,10.8,国5,3,1600,4缸,160,95
德州,2015,别克,6.14,1.6,自动,20.61,9.7,国5,1,1590,4缸,184,92
天津,2015,宝马3系,8.47,1.6,自动,34.93,17.58,国5,0,1550,4缸,136,95
上海,2018,哈弗H7,2.05,2,自动,16.5,10.88,国6,0,1550,4缸,231,92
上海,2015,大众,5.97,1.8,自动,28.2,12.68,国5,1,1600,4缸,160,95
沈阳,2012,大众,7.39,2,自动,28.96,9.6,国4,2,1550,4缸,200,95
北京,2010,奥迪A6L,16.67,2.8,自动,58.37,9.58,国4,1,1765,6缸,220,95
合肥,2014,斯柯达,6.15,1.6,自动,16.02,6.18,国5,1,1322,4缸,105,92
淄博,2016,现代,6.28,1.8,自动,16.26,8.8,国5,1,1421,4缸,143,92
南宁,2018,日产,3.39,1.6,自动,14.96,9.58,国5,2,1236,4缸,126,92
长沙,2016,本田,6.57,1.5,自动,8.88,6.3,国5,1,1068,4缸,131,92
昆明,2015,大众,6.38,1.8,自动,23.22,12,国5,2,1445,4缸,180,95
宿迁,2009,奔驰B级,6.16,2,自动,34.63,7.6,国4,1,1345,4缸,136,95
郑州,2017,凯迪拉克ATS1550L,3.36,2,自动,29.72,17.2,国5,0,1600,4缸,279,95
重庆,2015,福特,6.97,1.5,手动,10.51,4.28,国5,0,1255,4缸,113,92
上海,2018,大众,5.59,1.4,自动,16.48,10.8,国5,0,1535,4缸,150,95
嘉兴,2015,丰田,7.27,2,自动,32,25.8,国5,2,2070,4缸,220,95
西安,2013,大众,4.84,1.6,自动,13.56,7.6,国5,2,1550,4缸,110,92
无锡,2013,雪铁龙,6.07,1.6,自动,12.79,5.18,国5,0,1350,4缸,117,92
厦门,2009,荣威750,10.78,1.8,自动,21.47,2.99,国4,0,1567,4缸,160,95
上海,2016,大众,3.74,1.4,自动,21.14,13.48,国5,1,1545,4缸,150,95
贵阳,2017,丰田,2.76,1.2,自动,13.76,9.28,国5,0,1310,4缸,116,92
天津,2014,别克,4.33,2,自动,19.42,8.1,国5,1,1585,4缸,154,92
大连,2012,日产,4.47,1.6,自动,11.92,6.4,国5,0,1220,4缸,117,92
嘉兴,2013,东风风行,4.1,2,手动,8.89,2.8,国4,0,1550,4缸,112,92
合肥,2018,起亚,4.01,2,自动,15.19,11.4,国5,1,1430,4缸,160,92
重庆,2011,宝马7系,18.89,3,自动,97.48,23.8,国4,3,1930,6缸,258,95
哈尔,2013,福特,7.17,1.8,手动,10.83,3.4,国4,0,1321,4缸,124,92
沈阳,2011,丰田,6.89,1.6,自动,14.31,5.68,国4,0,1290,4缸,122,92
常州,2015,雷诺,5.86,1.2,自动,17.35,5.68,国4,1,1363,4缸,116,92
宁波,2018,丰田C1550HR,1.74,2,自动,16.91,14.28,国6,2,1505,4缸,171,92
石家庄,2018,奔驰C级,3.72,2,自动,33.95,24.58,国5,0,1550,4缸,184,95
杭州,2011,大众,11.71,1.4,自动,17.13,4.35,国4,1,1550,4缸,131,95
南京,2015,奥迪A4L,6.95,2,自动,36.14,16.8,国5,1,1600,4缸,180,95
石家庄,2019,丰田,3.8,1.8,自动,15.5,12.8,国6,1,1420,4缸,98,92
济南,2015,别克,5.29,1.5,自动,9.98,4.5,国5,0,1230,4缸,113,92
郑州,2017,现代ix25,3.81,1.6,自动,14.42,9.6,国5,1,1385,4缸,125,92
呼和,2011,丰田,10.09,1.6,自动,15.07,5.5,国4,0,1300,4缸,122,92
长沙,2020,福特,0.49,1.5,自动,16.37,10.98,国6,0,1411,3缸,174,92
嘉兴,2017,宝马1系,3.46,1.5,自动,24.94,15.8,国5,1,1550,3缸,136,95
佛山,2015,长安,9.7,1.6,手动,8.78,3.98,国5,0,1323,4缸,125,92
天津,2019,日产,2.39,1.6,自动,14.32,9.9,国5,0,1242,4缸,126,92
青岛,2014,凯迪拉克ATS1550L,6.13,2,自动,31.35,14.8,国5,1,1600,4缸,230,95
合肥,2015,大众,4.89,1.6,自动,23.87,8.88,国5,2,1600,4缸,167,92
重庆,2016,本田,3.76,1.5,自动,15.19,12.9,国5,1,1306,4缸,177,92
广州,2019,比亚迪,1.76,1.5,自动,21.37,12.89,国5,0,1550,4缸,154,92
成都,2009,雪佛兰,9.94,1.6,自动,14.43,2.95,国三,1,1400,4缸,117,92
长沙,2016,长安CS75,4.66,1.8,自动,12.68,6.98,国5,0,1665,4缸,177,92
上海,2017,奥迪A3,5.45,1.4,自动,25.24,14.38,国5,1,1340,4缸,150,95
福州,2017,马自达,3.83,1.5,自动,15.19,10.72,国5,1,1550,4缸,117,92
苏州,2016,吉利,4.15,1.3,自动,10.83,6.89,国5,1,1398,4缸,129,92
新乡,2016,雪铁龙,3.88,1.6,自动,12.03,5.28,国5,0,1350,4缸,117,92
潍坊,2012,大众,7.33,1.8,自动,27.66,9.78,国4,1,1600,4缸,160,95
青岛,2015,大众,5.79,1.5,自动,25.38,16.1,国5,3,1240,3缸,136,95
太原,2018,奥迪A6L,5.73,2.5,自动,50.34,33.8,国5,2,1800,6缸,204,95
大连,2010,宝马X1,2.99,3,自动,51.34,12.38,国5,1,1550,6缸,218,95
成都,2015,奥迪Q5,12.74,2,自动,42.07,19.5,国5,2,1900,4缸,224,95
南昌,2015,大众,8.25,1,自动,12.48,3.98,国4,1,750,3缸,70,95
洛阳,2016,本田,2.44,1.5,自动,9.31,7.58,国5,0,1078,4缸,131,92
石家庄,2019,日产,0.55,2,自动,16.81,12.9,国6,1,1429,4缸,154,92
济南,2020,福特,0.01,1.5,自动,13.33,9.8,国6,0,1359,3缸,122,92
青岛,2012,福特,7.22,1.6,手动,13.01,4.68,国4,0,1286,4缸,125,92
武汉,2012,福特,5.32,1.6,自动,15.62,6.28,国4,1,1337,4缸,125,92
青岛,2017,本田,2.66,1.5,自动,28.63,23.2,国5,1,1764,4缸,193,92
佛山,2009,铃木,7.75,1,手动,4.87,1.78,国4,0,890,3缸,71,92
郑州,2019,福特,1.62,1.5,自动,17.78,12.39,国5,0,1610,4缸,140,92
重庆,2018,凯迪拉克XTS,4.25,2,自动,32.55,20.68,国5,0,1840,4缸,269,95
金华,2019,哈弗M6,1.67,1.5,自动,8.47,6.8,国6,1,1592,4缸,150,92
温州,2010,福特,5.51,2.3,自动,19.52,4.28,国4,0,1586,4缸,160,92
合肥,2018,大众,2.15,1.4,自动,17.36,11.3,国5,1,1325,4缸,131,95
金华,2016,奥迪Q5,10.23,2,自动,46.41,23.6,国5,1,1550,4缸,224,95
石家庄,2013,大众,11.16,1.8,自动,25.81,9.45,国4,0,1600,4缸,160,95
无锡,2018,马自达CX15504,5.77,2,自动,16.59,11.98,国5,1,1450,4缸,158,92
聊城,2019,大众,0.99,1.4,自动,17.36,12.8,国5,2,1550,4缸,150,95
广州,2018,比亚迪,2.99,2,自动,27.67,18.99,国5,0,1550,4缸,205,92
郑州,2019,江铃,0.36,2.8,手动,11.92,10.9,国6,1,1550,4缸,116,0
昆明,2018,别克,1.95,1.4,自动,16.27,8.2,国5,1,1430,4缸,143,92
宁波,2015,传祺GS4,6.16,1.3,自动,14.85,6,国5,1,1475,4缸,137,92
杭州,2019,奥迪A4L,1.38,2,自动,32.65,25.8,国6,2,1585,4缸,190,95
武汉,2015,本田CR1550V,4.36,2.4,自动,26.03,15.86,国5,1,1640,4缸,186,92
济南,2017,福特,4.12,1.5,自动,16.26,8.5,国5,2,1407,4缸,181,92
